epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10811.9,1.07126,0.89861,1.24,0.43225,0.42647,0.34758,0.16669,1.90954,2.30036,2.27903,0.005842,0.005842,0.005842
44,11032.6,1.07824,0.92226,1.23312,0.4745,0.44412,0.36017,0.16666,2.09114,2.17202,2.50507,0.005743,0.005743,0.005743
45,11250,1.09601,0.90084,1.23737,0.52147,0.43824,0.42033,0.20565,2.00326,2.02673,2.33451,0.005644,0.005644,0.005644
46,11473.6,1.06596,0.89209,1.24474,0.39527,0.42353,0.35179,0.16328,1.95563,2.19419,2.33501,0.005545,0.005545,0.005545
47,11694.1,1.04317,0.8577,1.23154,0.41431,0.40988,0.31038,0.14815,1.93087,2.27292,2.27986,0.005446,0.005446,0.005446
48,11914.1,1.00573,0.84744,1.20773,0.44368,0.4316,0.34382,0.16131,1.88683,2.08786,2.27017,0.005347,0.005347,0.005347
49,12135.1,1.03832,0.876,1.20608,0.48572,0.46765,0.40771,0.20893,1.8306,1.97984,2.17243,0.005248,0.005248,0.005248
50,12358.7,1.03837,0.8459,1.2022,0.50127,0.43824,0.4072,0.19192,1.91846,2.24691,2.32547,0.005149,0.005149,0.005149
51,12588.3,1.03768,0.84056,1.21266,0.40151,0.45882,0.33606,0.15833,2.03497,2.21178,2.44615,0.00505,0.00505,0.00505
52,12812,1.01183,0.85529,1.19523,0.49394,0.38529,0.36768,0.18577,1.90441,2.23793,2.34632,0.004951,0.004951,0.004951
53,13038.6,1.00213,0.81756,1.17836,0.37124,0.32941,0.24369,0.1246,1.99488,2.32938,2.39467,0.004852,0.004852,0.004852
54,13260.1,1.00654,0.83698,1.19479,0.48433,0.36471,0.31717,0.15427,1.90446,2.31246,2.31725,0.004753,0.004753,0.004753
55,13481.6,0.99043,0.81647,1.17973,0.42195,0.42725,0.35705,0.17476,1.88877,2.10343,2.2676,0.004654,0.004654,0.004654
